"","new_year","day_of_week","hijri_year"
"1","2018-07-18","Wednesday",1439.625
"2","2017-07-18","Tuesday",1438.59375
"3","2016-07-18","Monday",1437.5625
"4","2015-07-19","Sunday",1436.53125
"5","2014-07-19","Saturday",1435.5
"6","2013-07-19","Friday",1434.46875
"7","2012-07-19","Thursday",1433.4375
"8","2011-07-20","Wednesday",1432.40625
"9","2010-07-20","Tuesday",1431.375
"10","2009-07-20","Monday",1430.34375
"11","2008-07-20","Sunday",1429.3125
"12","2007-07-21","Saturday",1428.28125
"13","2006-07-21","Friday",1427.25
"14","2005-07-21","Thursday",1426.21875
"15","2004-07-21","Wednesday",1425.1875
"16","2003-07-22","Tuesday",1424.15625
"17","2002-07-22","Monday",1423.125
"18","2001-07-22","Sunday",1422.09375
"19","2000-07-22","Saturday",1421.0625
"20","1999-07-23","Friday",1420.03125
"21","1998-07-23","Thursday",1419
"22","1997-07-23","Wednesday",1417.96875
"23","1996-07-23","Tuesday",1416.9375
"24","1995-07-24","Monday",1415.90625
"25","1994-07-24","Sunday",1414.875
"26","1993-07-24","Saturday",1413.84375
"27","1992-07-24","Friday",1412.8125
"28","1991-07-25","Thursday",1411.78125
"29","1990-07-25","Wednesday",1410.75
"30","1989-07-25","Tuesday",1409.71875
"31","1988-07-25","Monday",1408.6875
"32","1987-07-26","Sunday",1407.65625
"33","1986-07-26","Saturday",1406.625
"34","1985-07-26","Friday",1405.59375
"35","1984-07-26","Thursday",1404.5625
"36","1983-07-27","Wednesday",1403.53125
"37","1982-07-27","Tuesday",1402.5
"38","1981-07-27","Monday",1401.46875
"39","1980-07-27","Sunday",1400.4375
"40","1979-07-28","Saturday",1399.40625
"41","1978-07-28","Friday",1398.375
"42","1977-07-28","Thursday",1397.34375
"43","1976-07-28","Wednesday",1396.3125
"44","1975-07-29","Tuesday",1395.28125
"45","1974-07-29","Monday",1394.25
"46","1973-07-29","Sunday",1393.21875
"47","1972-07-29","Saturday",1392.1875
"48","1971-07-30","Friday",1391.15625
"49","1970-07-30","Thursday",1390.125
"50","1969-07-30","Wednesday",1389.09375
"51","1968-07-30","Tuesday",1388.0625
"52","1967-07-31","Monday",1387.03125
"53","1966-07-31","Sunday",1386
"54","1965-07-31","Saturday",1384.96875
"55","1964-07-31","Friday",1383.9375
"56","1963-08-01","Thursday",1382.90625
"57","1962-08-01","Wednesday",1381.875
"58","1961-08-01","Tuesday",1380.84375
"59","1960-08-01","Monday",1379.8125
"60","1959-08-02","Sunday",1378.78125
"61","1958-08-02","Saturday",1377.75
"62","1957-08-02","Friday",1376.71875
"63","1956-08-02","Thursday",1375.6875
"64","1955-08-03","Wednesday",1374.65625
"65","1954-08-03","Tuesday",1373.625
"66","1953-08-03","Monday",1372.59375
"67","1952-08-03","Sunday",1371.5625
"68","1951-08-04","Saturday",1370.53125
"69","1950-08-04","Friday",1369.5
"70","1949-08-04","Thursday",1368.46875
"71","1948-08-04","Wednesday",1367.4375
"72","1947-08-05","Tuesday",1366.40625
"73","1946-08-05","Monday",1365.375
"74","1945-08-05","Sunday",1364.34375
"75","1944-08-05","Saturday",1363.3125
"76","1943-08-06","Friday",1362.28125
"77","1942-08-06","Thursday",1361.25
"78","1941-08-06","Wednesday",1360.21875
"79","1940-08-06","Tuesday",1359.1875
"80","1939-08-07","Monday",1358.15625
"81","1938-08-07","Sunday",1357.125
"82","1937-08-07","Saturday",1356.09375
"83","1936-08-07","Friday",1355.0625
"84","1935-08-08","Thursday",1354.03125
"85","1934-08-08","Wednesday",1353
"86","1933-08-08","Tuesday",1351.96875
"87","1932-08-08","Monday",1350.9375
"88","1931-08-09","Sunday",1349.90625
"89","1930-08-09","Saturday",1348.875
"90","1929-08-09","Friday",1347.84375
"91","1928-08-09","Thursday",1346.8125
"92","1927-08-10","Wednesday",1345.78125
"93","1926-08-10","Tuesday",1344.75
"94","1925-08-10","Monday",1343.71875
"95","1924-08-10","Sunday",1342.6875
"96","1923-08-11","Saturday",1341.65625
"97","1922-08-11","Friday",1340.625
"98","1921-08-11","Thursday",1339.59375
"99","1920-08-11","Wednesday",1338.5625
"100","1919-08-12","Tuesday",1337.53125
"101","1918-08-12","Monday",1336.5
"102","1917-08-12","Sunday",1335.46875
"103","1916-08-12","Saturday",1334.4375
"104","1915-08-13","Friday",1333.40625
"105","1914-08-13","Thursday",1332.375
"106","1913-08-13","Wednesday",1331.34375
"107","1912-08-13","Tuesday",1330.3125
"108","1911-08-14","Monday",1329.28125
"109","1910-08-14","Sunday",1328.25
"110","1909-08-14","Saturday",1327.21875
"111","1908-08-14","Friday",1326.1875
"112","1907-08-15","Thursday",1325.15625
"113","1906-08-15","Wednesday",1324.125
"114","1905-08-15","Tuesday",1323.09375
"115","1904-08-15","Monday",1322.0625
"116","1903-08-16","Sunday",1321.03125
"117","1902-08-16","Saturday",1320
"118","1901-08-16","Friday",1318.96875
"119","1900-08-16","Thursday",1317.9375
